Balance of sick leave.,1
I have a balance of sick leave.,1
The balance of my sick leave.,1
I have an unpaid sick leave balance.,1
Amount of sick leave I have.,1
Sick leave balance.,1
I've got sick leave left.,1
I have a medical leave balance.,1
In the balance of my sick leave.,1
Balance of my sick leave.,1
Insufficient leave balance,2
It is my balance of leave,2
A balance of leave is due,2
Amount of my leave,2
What my leave balance is,2
The balance of my leave,2
I still have leave to use,2
Leave balance,2
Balance of my leave,2
You must raise a ticket in order to gain access to the elixir,3
Get an elixir ticket,3
Bring in an elixir ticket,3
The elixir ticket needs to be raised,3
A ticket for an elixir can be raised,3
Bring an elixir ticket to the table,3
Ticket for elixirs,3
You need to raise an elixir ticket,3
The elixir ticket must be raised,3
Make an elixir ticket,3
The holidays are fixed in advance,4
Observed holidays,4
Dates predetermined for holidays,4
Holidays that cannot be changed,4
Holidays scheduled in advance,4
A predetermined holiday,4
Any predetermined holiday,4
Holidays scheduled in advance,4
Holidays with predetermined dates,4
Holidays set in advance,4
Holidays that are predetermined,4
Personal information of employees,5
A description of each employee,5
A list of employees,5
Personal information about employees,5
Details about employees,5
Data about employees,5
Detailed information about employees,5
The employee's information,5
An employee's profile,5
Information about employees,5
Please run openai,6
openai text search,6
openai input search,6
execute openai,6
run openai text search,6
find me this from openai,6
give me text from openai,6
openai query result,6
open txt search,6
openai find me the following,6
when did I check in,7
when did I enter office,7
office entry time,7
office check in,7
check in at office,7
when did I reach HO,7
HO check in,7
check in time at HO,7
when did I arrive at HO,7
when did I enter HO,7
which meeting room is available,8
meeting rooms near me,8
find me a vacant room,8
meeting rooms near me,8
find me more meeting rooms,8
convention room,8
find me meeting room now,8
asian paints meeting room,8
find me a free meeting room,8
what are available meeting room,8
find me some images,9
search images,9
image recognition search,9
find me some images,9
image search,9
find me some more image,9
image search now,9
find me some images about,9
find me imgs on the following,9
image finder,9
"""""",10
aaaaaaaaaaaaaaaaaaaaa,10
aaaaaaaaaaaaaaaaaaaaa,10
bbbbbbbbbbbbb,10
"""""",10
what do I put,10
"""""",10
nahi,10
"""""",10
cccccccccccccccccccccccc,10
